asset,regime_type,regime_value,model,n,rmse,mae,qlike
AAPL,overall,all,LightGBM,819,9.0589953593e-04,2.3400723827e-04,3.9404862783e+00
AAPL,overall,all,EWMA,819,8.9198780213e-04,3.0007658565e-04,1.7166674782e+00
AAPL,overall,all,GARCH,819,9.4276514273e-04,3.4803382302e-04,1.8018233418e+00
AAPL,overall,all,HAR,819,8.9345134900e-04,3.1705729689e-04,1.6959678042e+00
BTC-USD,overall,all,LightGBM,1344,1.5853634365e-03,5.5506842299e-04,3.8911595547e+00
BTC-USD,overall,all,EWMA,1344,1.5445550678e-03,7.3648137415e-04,1.9500117456e+00
BTC-USD,overall,all,GARCH,1344,1.5774254290e-03,9.2196975832e-04,2.0031644869e+00
BTC-USD,overall,all,HAR,1344,1.5339632472e-03,8.4955766195e-04,1.9306563448e+00
ETH-USD,overall,all,LightGBM,1344,3.0761794376e-03,1.0483657584e-03,5.2693960779e+00
ETH-USD,overall,all,EWMA,1344,2.9621309343e-03,1.3900275212e-03,1.9342224223e+00
ETH-USD,overall,all,GARCH,1344,2.9988752337e-03,1.5032713627e-03,1.9607587308e+00
ETH-USD,overall,all,HAR,1344,2.9780260021e-03,1.4926944459e-03,1.9363229292e+00
MSFT,overall,all,LightGBM,819,6.7175914943e-04,2.0494286625e-04,3.3882108540e+00
MSFT,overall,all,EWMA,819,6.6010595487e-04,2.6353375001e-04,1.7121614715e+00
MSFT,overall,all,GARCH,819,6.6546194538e-04,2.8043788986e-04,1.7452353048e+00
MSFT,overall,all,HAR,819,6.6118529973e-04,2.9682086593e-04,1.7036230485e+00
SPY,overall,all,LightGBM,819,3.9671925577e-04,7.9456594024e-05,2.5742177868e+00
SPY,overall,all,EWMA,819,3.9470913824e-04,1.0633630526e-04,1.6469954694e+00
SPY,overall,all,GARCH,819,4.3798367361e-04,1.2936010999e-04,1.8175827963e+00
SPY,overall,all,HAR,819,3.9214148123e-04,1.1520897503e-04,1.6710673219e+00
AAPL,tercile,low,LightGBM,273,4.8739427710e-05,3.7277024506e-05,1.6897140585e+00
